id;code_cec;libelle_cec;arrondissement;departement;region
1822;OU4210;MAKOUP;MALENTOUEN;NOUN;OUEST
1823;CE7905;MAKOURI;YOKO;MBAM ET KIM;CENTRE
1824;EN4803;MALAM-PETEL;PETTE;DIAMARE;EXTREME-NORD
1825;OU4305;MALANDEN;MASSANGAM;NOUN;OUEST
1826;AD2705;MALANG;NGAOUNDERE III;VINA;ADAMAOUA
1827;ES3508;MALEWA KADEY;NGOURA;LOM ET DJEREM;EST
1828;OU4209;MALIEN;MALENTOUEN;NOUN;OUEST
1829;EN4311;MALIKA;MORA;MAYO-SAVA;EXTREME-NORD
1830;LTALF5;MALIMBA II;EDEA II;SANAGA-MARITIME;LITTORAL
1831;OU4306;MALOUM;MASSANGAM;NOUN;OUEST
1832;EN3522;MALTAM;MAKARY;DIAMARE;EXTREME-NORD
1833;LT1804;MAMBANDA;DOUALA IV;WOURI;LITTORAL
1834;CE3918;MAMBANDO;MAKAK;NYONG ET KELLE;CENTRE
1835;ES1408;MAMBAYA;BELABO;LOM ET DJEREM;EST
1836;NW1304;MAMBU-BAFUT;BAFUT;MEZAM;NORTH-WEST
1837;SW3001;MAMFE COUNCIL;MAMFE;MANYU;SUD-OUEST
1838;OU4307;MAMOGNAM;MASSANGAM;NOUN;OUEST
1839;OU4006;MAMOVOUE;KOUTABA;NOUN;OUEST
1840;EN3523;MANAWADJI;MAKARY;DIAMARE;EXTREME-NORD
1841;OU4308;MANCHA;MASSANGAM;NOUN;OUEST
1842;OU4102;MANDA;MAGBA;NOUN;OUEST
1843;OU4205;MANDINGA PLATEAU;MALENTOUEN;NOUN;OUEST
1844;OU4204;MANDINGA-CHEFFERIE;MALENTOUEN;NOUN;OUEST
1845;CE5903;MANDJANDJANG;NGUIBASSAL;NYONG ET KELLE;CENTRE
1846;CE2507;MANDJAP;DIBANG;NYONG ET KELLE;CENTRE
1847;LT3404;MANDJAP;NGWEI;SANAGA-MARITIME;LITTORAL
1848;ESAL51;MANDJOU VILLE;MANDJOU;LOM ET DJEREM;EST
1849;CE4103;MANDOUMBA;MATOMB;NYONG ET KELLE;CENTRE
1850;AD1707;MANDOUROU-HAMADJODA;MARTAP;VINA;ADAMAOUA
1851;LT2103;MANEGOUBA;EBONE;MOUNGO;LITTORAL
1852;CE7027;MANELON;SA'A;LEKIE;CENTRE
1853;LT2502;MANEMGOTENG;MANJO;MOUNGO;LITTORAL
1854;LT2104;MANENGOLE;EBONE;MOUNGO;LITTORAL
1855;ES4207;MANG;YOKADOUMA;BOUMBA ET NGOKO;EST
1856;ENALF9;MANGA;KAI-KAI;MAYO-DANAY;EXTREME-NORD
1857;CE7906;MANGAI;YOKO;MBAM ET KIM;CENTRE
1858;LT2105;MANGAMBA;EBONE;MOUNGO;LITTORAL
1859;CE5904;MANGANGA;NGUIBASSAL;NYONG ET KELLE;CENTRE
1860;CE5406;MANGBLANG;NGAMBE TIKAR;MBAM ET KIM;CENTRE
1861;AD2804;MANGOLI;NYAMBAKA;VINA;ADAMAOUA
1862;AD2804;MANGOM;NYAMBAKA;VINA;ADAMAOUA
1863;OU4206;MANGUEMBOU;MALENTOUEN;NOUN;OUEST
1864;CE2308;MANGUENDA II;BOT MAKAK;NYONG ET KELLE;CENTRE
1865;OU4103;MANKA;MAGBA;NOUN;OUEST
1866;CE7907;MANKIM;YOKO;MBAM ET KIM;CENTRE
1867;NW2502;MANKON HEALTH CENTER;BAMENDA II;MEZAM;NORTH-WEST
1868;OU4309;MANKOUOMBI;MASSANGAM;NOUN;OUEST
1869;LT2807;MANKWA;MELONG;MOUNGO;LITTORAL
1870;OU4310;MANSOUEN-FOYOUOM;MASSANGAM;NOUN;OUEST
1871;CE5408;MANSOUH;NGAMBE TIKAR;MBAM ET KIM;CENTRE
1872;LT2505;MANTEM;MANJO;MOUNGO;LITTORAL
1873;OU4207;MANTOUM;MALENTOUEN;NOUN;OUEST
1874;SW3505;MANYEMEN;NGUTI;KUPE / MUANENGUBA;SUD-OUEST
1875;ENAL70;MAOUDINE;MINDIF;MAYO-KANI;EXTREME-NORD
1876;ESAL45;MARARABA;BETARE-OYA;LOM ET DJEREM;EST
1877;EN4003;MARFAI;MINDIF;MAYO-KANI;EXTREME-NORD
1878;OU2101;MARIE DE BANGANGTE;BANGANGTE;MIFI;OUEST
1879;AD1401;MARIE DE DJOHONG;DJOHONG;MBERE;ADAMAOUA
1880;AD1708;MARTAP CHEFFERIE;MARTAP;VINA;ADAMAOUA
1881;EN1904;MASSA-GOUDOUEITA;GOBO;MAYO-DANAY;EXTREME-NORD
1882;EN1802;MASSAKAL;GAZAWA;DIAMARE;EXTREME-NORD
1883;EN3524;MASSAKI;MAKARY;DIAMARE;EXTREME-NORD
1884;OU4208;MASSASSA;MALENTOUEN;NOUN;OUEST
1885;ES4208;MASSEA;YOKADOUMA;BOUMBA ET NGOKO;EST
1886;ENALF8;MASS-GAYA;YAGOUA;MAYO-DANAY;EXTREME-NORD
1887;ES4103;MASSIEL (ALOUMA);SOMALOMO;HAUT-NYONG;EST
1888;LT3102;MASSOUMBOU VILLAGE;YABASSI;NKAM;LITTORAL
1889;EN4211;MATAKAM SUD;MOKOLO;MAYO-TSANAGA;EXTREME-NORD
1890;OU4311;MATOUFA;MASSANGAM;NOUN;OUEST
1891;OUAL17;MATOUPO;MALENTOUEN;NOUN;OUEST
1892;CE7908;MATSARI;YOKO;MBAM ET KIM;CENTRE
1893;AD1209;MAYO BADJI;BELEL;VINA;ADAMAOUA
1894;EN2504;MAYO KABBA;HINA;MAYO-TSANAGA;EXTREME-NORD
1895;NW3503;MAYO-BINKA;NKAMBE;DONGA-MANTUNG;NORTH-WEST
1896;AD1902;MAYO-DARLE CENTRE;MAYO-DARLE;MAYO-BANYO;ADAMAOUA
1897;AD1903;MAYO-DJINGA;MAYO-DARLE;MAYO-BANYO;ADAMAOUA
1898;AD1111;MAYO-KELELE;BANYO;MAYO-BANYO;ADAMAOUA
1899;CE4104;MAYOS;MATOMB;NYONG ET KELLE;CENTRE
1900;ES1103;MAYOS;ANGOSSAS;HAUT-NYONG;EST
1901;CE3306;MBABANG II;EVOUDOULA;LEKIE;CENTRE
1902;CE4525;MBADOUMOU;MBANKOMO;MEFOU ET AKONO;CENTRE
1903;CE6110;MBAKA;NKOLAFAMBA;MEFOU ET AFAMBA;CENTRE
1904;CE1505;MBAKA;AYOS;NYONG ET MFOUMOU;CENTRE
1905;AD2904;MBAKAOU;TIBATI;DJEREM;ADAMAOUA
1906;ES1409;MBAKI II;BELABO;LOM ET DJEREM;EST
1907;CE6613;MBAKOMO;OBALA;LEKIE;CENTRE
1908;NW1307;MBAKONG;BAFUT;MEZAM;NORTH-WEST
1909;ES3603;MBALAM I;NGOYLA;HAUT-NYONG;EST
1910;ES3604;MBALAM II;NGOYLA;HAUT-NYONG;EST
1911;AD2203;MBALANG SANGA;NGANHA;VINA;ADAMAOUA
1912;CE5813;MBALELON I;NGOUMOU;MEFOU ET AKONO;CENTRE
1913;CE7204;MBALLA IV;YAOUNDE I;MFOUNDI;CENTRE
1914;LT1402;MBALMAYO DIZANGUE;DIZANGUE;SANAGA-MARITIME;LITTORAL
1915;CE4515;MBALNGONG;MBANKOMO;MEFOU ET AKONO;CENTRE
1916;CE4523;MBALNGONG SUD;MBANKOMO;MEFOU ET AKONO;CENTRE
1917;NW2204;MBAM;OKU;BUI;NORTH-WEST
1918;ES2808;MBAMA;MBANG;KADEY;EST
1919;ES1410;MBAMBO;BELABO;LOM ET DJEREM;EST
1920;NW3704;MBAM-NSO;NKUM;BUI;NORTH-WEST
1921;AD1104;MBAMTI DJOUMBARE;BANYO;MAYO-BANYO;ADAMAOUA
1922;AD1105;MBAMTI KATARKO;BANYO;MAYO-BANYO;ADAMAOUA
1923;CE7008;MBAN;SA'A;LEKIE;CENTRE
1924;CE2309;MBANDA;BOT MAKAK;NYONG ET KELLE;CENTRE
1925;LT2205;MBANDA;EDEA I;SANAGA-MARITIME;LITTORAL
1926;LT4206;MBANDEM-RIVE DROITE;YABASSI;NKAM;LITTORAL
1927;LT3606;MBANG;NKONDJOCK;NKAM;LITTORAL
1928;CE2610;MBANGA;DZENG;NYONG ET SO'O;CENTRE
1929;AD2204;MBANG-FOULBE;NGANHA;VINA;ADAMAOUA
1930;AD2205;MBANG-MBOUM;NGANHA;VINA;ADAMAOUA
1931;AD1906;MBANGUERI;MAYO-DARLE;MAYO-BANYO;ADAMAOUA
1932;EN1803;MBANKARA;GAZAWA;DIAMARE;EXTREME-NORD
1933;CE4522;MBANKOMO VILLAGE;MBANKOMO;MEFOU ET AKONO;CENTRE
1934;CE7107;MBANSAN I;SOA;MEFOU ET AFAMBA;CENTRE
1935;LT1905;MBANYA PAYS -BAS;DOUALA V;WOURI;LITTORAL
1936;AD2110;MBARANG;MEIGANGA;MBERE;ADAMAOUA
1937;AD2111;MBARANG II;MEIGANGA;MBERE;ADAMAOUA
1938;CE5002;MBARGUE;MINTA;HAUTE SANAGA;CENTRE
1939;CE7909;MBATOUA;YOKO;MBAM ET KIM;CENTRE
1940;CE4506;MBAYENGUE I;MBANKOMO;MEFOU ET AKONO;CENTRE
1941;CE2310;MBEBE-KIKOT;BOT MAKAK;NYONG ET KELLE;CENTRE
1942;AD2005;MBE-CENTRE;MBE;VINA;ADAMAOUA
1943;CE6614;MBELE I;OBALA;LEKIE;CENTRE
1944;AD2905;MBELLA-ASSOM;TIBATI;DJEREM;ADAMAOUA
1945;NW1406;MBELUH;BALI;MEZAM;NORTH-WEST
1946;OU2011;MBEMTUM;BANGOU;KOUNG KHI;OUEST
1947;CE3907;MBENG;MAKAK;NYONG ET KELLE;CENTRE
1948;CE5609;MBENG;NGOMEDZAP;NYONG ET SO'O;CENTRE
1949;OU4627;MBENG;NKONG-NI;MENOUA;OUEST
1950;CE4820;MBENGA;MESSONDO;NYONG ET KELLE;CENTRE
1951;NW2805;MBENGEGHENG;MBENGWI;MOMO;NORTH-WEST
1952;CE4808;MBENGUE;MESSONDO;NYONG ET KELLE;CENTRE
1953;LT1906;MBENGUE CITY;DOUALA V;WOURI;LITTORAL
1954;ES3902;MBENGUE-TIKO;MBOTORO-OULI;KADEY;EST
1955;NW2801;MBENGWI COUNCIL;MBENGWI;MOMO;NORTH-WEST
1956;NW2405;MBENKAS;FUNDONG;BOYO;NORTH-WEST
1957;AD2707;MBERE MAGOINANG;NYAMBAKA;VINA;ADAMAOUA
1958;NW3404;MBESINAKU;NJINIKUM;BOYO;NORTH-WEST
1959;NW2005;MBESSA;BELO;BOYO;NORTH-WEST
1960;ES1805;MBETH II;DIANG;LOM ET DJEREM;EST
1961;ES2203;MBIALI;GARI-GOMBO;BOUMBA ET NGOKO;EST
1962;LT3104;MBIAM;NDOBIAN;NKAM;LITTORAL
1963;NW2901;MBIAME COUNCIL;MVEN;BUI;NORTH-WEST
1964;OU2012;MBIENG;BANGOU;KOUNG KHI;OUEST
1965;ES2403;MBILE I;KENTZOU;KADEY;EST
1966;LT1403;MBIMBE-NDONGA;DIZANGUE;SANAGA-MARITIME;LITTORAL
1967;SW3203;MBINDIA;FONTEM;LEBIALEM;SUD-OUEST
1968;OU3409;MBING;FONGO TONGO;MENOUA;OUEST
1969;NW3604;MBINON;NONI;BUI;NORTH-WEST
1970;ESAL46;MBITOM;BETARE-OYA;LOM ET DJEREM;EST
1971;NW3203;MBIYEH;NDU;DONGA-MANTUNG;NORTH-WEST
1972;OU3808;MBOEBO;KEKEM;HAUT NKAM;OUEST
1973;CE3908;MBOGLOM;MAKAK;NYONG ET KELLE;CENTRE
1974;LT2808;MBOKAMBO;MELONG;MOUNGO;LITTORAL
1975;ES4209;MBOL I2;YOKADOUMA;BOUMBA ET NGOKO;EST
1976;ES3406;MBONDOUA;NDELELE;KADEY;EST
1977;ES2305;MBONGA;GAROUA-BOULAI;LOM ET DJEREM;EST
1978;SW3101;MBONGE COUNCIL;MBONGE;MEME;SUD-OUEST
1979;NW3204;MBONGONG;NDU;DONGA-MANTUNG;NORTH-WEST
1980;LT1107;MBONJO I;BONALEA;MOUNGO;LITTORAL
1981;NW3504;MBORT COURT;NKAMBE;DONGA-MANTUNG;NORTH-WEST
1982;CE6615;MBOUA II;OBALA;LEKIE;CENTRE
1983;LT2809;MBOUASSOUM;MELONG;MOUNGO;LITTORAL
1984;CE4809;MBOUI;MESSONDO;NYONG ET KELLE;CENTRE
1985;AD2112;MBOULA;MEIGANGA;MBERE;ADAMAOUA
1986;ES1307;MBOUNOU;BATOURI;KADEY;EST
1987;OU2013;MBOUO;BANGOU;KOUNG KHI;OUEST
1988;LT2810;MBOUROUKOU;MELONG;MOUNGO;LITTORAL
1989;ES2204;MBOUTOUNDOU;GARI-GOMBO;BOUMBA ET NGOKO;EST
1990;EN3909;MBOZO;MERI;DIAMARE;EXTREME-NORD
1991;NW1407;MBUFUNG;BALI;MEZAM;NORTH-WEST
1992;SW1003;MBULU;AKWAYA;MANYU;SUD-OUEST
1993;CE5003;MEBA/NGUEN;MINTA;HAUTE SANAGA;CENTRE
1994;CE1316;MEBANG I;AKONOLINGA;NYONG ET MFOUMOU;CENTRE
1995;CE2909;MEBOMO;ELIG-MFOMO;LEKIE;CENTRE
1996;CE5004;MEDALMBOM;MINTA;HAUTE SANAGA;CENTRE
1997;CE1317;MEDJAP;AKONOLINGA;NYONG ET MFOUMOU;CENTRE
1998;ES3202;MEDJOH;MINDOUROU;HAUT-NYONG;EST
1999;NW3605;MEE;NONI;BUI;NORTH-WEST
2000;CE4940;MEFAN;MFOU;MEFOU ET AFAMBA;CENTRE
2001;CE4507;MEFOMO;MBANKOMO;MEFOU ET AKONO;CENTRE
2002;CE4508;MEFOU-ASSI;MBANKOMO;MEFOU ET AKONO;CENTRE
2003;CE7910;MEGANG;YOKO;MBAM ET KIM;CENTRE
2004;OU3405;MEGUEU;FONGO TONGO;MENOUA;OUEST
2005;CE4929;MEHANDAN;MFOU;MEFOU ET AFAMBA;CENTRE
2006;CE6113;MEHANDAN I;NKOLAFAMBA;MEFOU ET AFAMBA;CENTRE
2007;EN4312;MEHE-SANDA;MORA;MAYO-SAVA;EXTREME-NORD
2008;AD2906;MEIDJAMBA;TIBATI;DJEREM;ADAMAOUA
2009;AD2113;MEIDOUGOU;MEIGANGA;MBERE;ADAMAOUA
2010;EN3525;MEIRAHA;MAKARY;DIAMARE;EXTREME-NORD
2011;NW2004;MEJANG;BELO;BOYO;NORTH-WEST
2012;OU4818;MEKET;SANTCHOU;MENOUA;OUEST
2013;OU4409;MEKIE BALATCHI;MBOUDA;BAMBOUTOS;OUEST
2014;CEAL13;MEKOE;MFOU;MEFOU ET AFAMBA;CENTRE
2015;CE1318;MEKOMO;AKONOLINGA;NYONG ET MFOUMOU;CENTRE
2016;CE4206;MEKOMO;MBALMAYO;NYONG ET SO'O;CENTRE
2017;CE5005;MEKON II;MINTA;HAUTE SANAGA;CENTRE
2018;CE6402;MEKONE I;NSEM;HAUTE SANAGA;CENTRE
2019;OU4625;MEKONG;NKONG-NI;MENOUA;OUEST
2020;CE7406;MEKOUMBOU I;YAOUNDE III;MFOUNDI;CENTRE
2021;CE1319;MELANESOMBO;AKONOLINGA;NYONG ET MFOUMOU;CENTRE
2022;CE7516;MELEN I;YAOUNDE IV;MFOUNDI;CENTRE
2023;CEAL36;MELEN I;YAOUNDE VI;MFOUNDI;CENTRE
2024;OU4807;MELEU;SANTCHOU;MENOUA;OUEST
2025;EN4313;MEME;MORA;MAYO-SAVA;EXTREME-NORD
2026;CE1904;MENDONG;BIKOK;MEFOU ET AKONO;CENTRE
2027;CE4927;MENDONG II;MFOU;MEFOU ET AFAMBA;CENTRE
2028;ES4210;MENDOUGUE;YOKADOUMA;BOUMBA ET NGOKO;EST
2029;OU3707;MENFOUNG;GALIM;BAMBOUTOS;OUEST
2030;CE5206;MENGA'A;NANGA-EBOGO;HAUTE SANAGA;CENTRE
2031;CE4608;MENGANG-CENTRE;MENGANG;NYONG ET MFOUMOU;CENTRE
2032;CE5207;MENGOA;NANGA-EBOGO;HAUTE SANAGA;CENTRE
2033;CE7009;MENGON;SA'A;LEKIE;CENTRE
2034;CE5214;MENGONDE;NANGA-EBOGO;HAUTE SANAGA;CENTRE
2035;CE3804;MENGUEK I;LOBO;LEKIE;CENTRE
2036;CE3207;MENGUEME;ESSE;MEFOU ET AFAMBA;CENTRE
2037;CE4707;MENGUEME;MENGUEME;NYONG ET SO'O;CENTRE
2038;CE1320;MENGUEME-SI;AKONOLINGA;NYONG ET MFOUMOU;CENTRE
2039;SW3201;MENJI COUNCIL;FONTEM;LEBIALEM;SUD-OUEST
2040;NW3906;MENKA-BUSHI;SANTA;MEZAM;NORTH-WEST
2041;EN3604;MESKINE;MAROUA I;DIAMARE;EXTREME-NORD
2042;CE7304;MESSA NKOA BA'A;YAOUNDE II;MFOUNDI;CENTRE
2043;CE6616;MESSANGA;OBALA;LEKIE;CENTRE
2044;CE4909;MESSENG;MFOU;MEFOU ET AFAMBA;CENTRE
2045;CEALF2;METEP;BIBEY;HAUTE SANAGA;CENTRE
2046;CEALF55;METET-CENTRE;NKOLMETET;NYONG ET SO'O;CENTRE
2047;OU2713;METIO;BATCHAM;BAMBOUTOS;OUEST
2048;CE1321;METONDOK;AKONOLINGA;NYONG ET MFOUMOU;CENTRE
2049;OU3708;MEVOBO;GALIM;BAMBOUTOS;OUEST
2050;CE7704;MEWOULOU;YAOUNDE VI;MFOUNDI;CENTRE
2051;CE3008;MEWOUT;ENDOM;NYONG ET MFOUMOU;CENTRE
2052;CE3009;MEYEMAYA;ENDOM;NYONG ET MFOUMOU;CENTRE
2053;CE3703;MEYETTE;LEMBE-YEZOUM;HAUTE SANAGA;CENTRE
2054;CE1905;MEYILA;BIKOK;MEFOU ET AKONO;CENTRE
2055;CE1415;MEYO;AWAE;MEFOU ET AFAMBA;CENTRE
2056;CE7503;MEYO;YAOUNDE IV;MFOUNDI;CENTRE
2057;CE3307;MEYOS;EVOUDOULA;LEKIE;CENTRE
2058;CEAL22;MEYOS;SOA;MEFOU ET AFAMBA;CENTRE
2059;CE3704;MEZA'A;LEMBE-YEZOUM;HAUTE SANAGA;CENTRE
2060;CE4706;MFIDA;MENGUEME;NYONG ET SO'O;CENTRE
2061;CE1202;MFIDA I;AKONO;MEFOU ET AKONO;CENTRE
2062;CEAL11;MFIDA I;MFOU;MEFOU ET AFAMBA;CENTRE
2063;CEAL23;MFOU -ASSAMBA;ASSAMBA;MEFOU ET AFAMBA;CENTRE
2064;CEAL14;MFOU-VILLAGE;MFOU;MEFOU ET AFAMBA;CENTRE
2065;ES3806;MIAMBO;NGUELEMENDOUGA;HAUT-NYONG;EST
2066;LT1104;MIANG;BONALEA;MOUNGO;LITTORAL
2067;ENAL69;MIDJIL;KAELE;MAYO-KANI;EXTREME-NORD
2068;EN2607;MIDJIVING CENTRE;KAELE;MAYO-KANI;EXTREME-NORD
2069;EN4903;MIDRE;SOULEDE-ROUA;MAYO-TSANAGA;EXTREME-NORD
2070;CEALF51;MIENDI;MENGANG;NYONG ET MFOUMOU;CENTRE
2071;ES4005;MIKEL;SALAPOUMBE;BOUMBA ET NGOKO;EST
2072;LT4307;MILOMBE;NDOBIAN;NKAM;LITTORAL
2073;CE7504;MIMBOMAN I SUD;YAOUNDE IV;MFOUNDI;CENTRE
2074;CE7505;MIMBOMAN III;YAOUNDE IV;MFOUNDI;CENTRE
2075;CE7506;MIMBOMAN IV;YAOUNDE IV;MFOUNDI;CENTRE
2076;ES3407;MINDOUROU;NDELELE;KADEY;EST
2077;ES3203;MINDOUROU VILLE;MINDOUROU;HAUT-NYONG;EST
2078;EN4209;MINGLIA;MOKOLO;MAYO-TSANAGA;EXTREME-NORD
2079;AD2907;MINIM;TIBATI;DJEREM;ADAMAOUA
2080;OU4617;MINKA-BALEVENG;NKONG-NI;MENOUA;OUEST
2081;CE6617;MINKAMA;OBALA;LEKIE;CENTRE
2082;CE3909;MINKOTMBEM;MAKAK;NYONG ET KELLE;CENTRE
2083;CE4703;MINLABA;MENGUEME;NYONG ET SO'O;CENTRE
2084;CE6713;MINSO I;OKOLA;LEKIE;CENTRE
2085;CE2311;MINTABA;BOT MAKAK;NYONG ET KELLE;CENTRE
2086;CE3104;MINTANYE;ESEKA;NYONG ET KELLE;CENTRE
2087;CEALF5;MINTOTOMO;OKOLA;LEKIE;CENTRE
2088;NW3001;MISAJE COUNCIL;MISAJE;DONGA-MANTUNG;NORTH-WEST
2089;EN1804;MIZILING;GAZAWA;DIAMARE;EXTREME-NORD
2090;NW4207;MMEN;FONGUM;MENCUM;NORTH-WEST
2091;SW4006;MMOUCK IETEH;WABANE;LEBIALEM;SUD-OUEST
2092;SW1104;MMOUCKBIE;ALOU;LEBIALEM;SUD-OUEST
2093;SW1105;MMOUCKIGIE ALIAS MMUOCKFOSSIMONDI;ALOU;LEBIALEM;SUD-OUEST
2094;ES4211;MOAMPACK;YOKADOUMA;BOUMBA ET NGOKO;EST
2095;NW4208;MODELLE;MENCHUM VALLEY;MENCUM;NORTH-WEST
2096;EN4004;MODJOMBODI;MINDIF;MAYO-KANI;EXTREME-NORD
2097;EN3208;MODOKO;KOZA;MAYO-TSANAGA;EXTREME-NORD
2098;EN2906;MOGOM;KAR HAY;MAYO-DANAY;EXTREME-NORD
2099;EN4005;MOGOME;MINDIF;MAYO-KANI;EXTREME-NORD
2100;EN4210;MOKOLA;MOKOLO;MAYO-TSANAGA;EXTREME-NORD
2101;EN4212;MOKONG;MOKOLO;MAYO-TSANAGA;EXTREME-NORD
2102;OU4808;MOKOP;SANTCHOU;MENOUA;OUEST
2103;CE3910;MOM;MAKAK;NYONG ET KELLE;CENTRE
2104;LT2705;MOMBO;MOMBO;MOUNGO;LITTORAL
2105;CE2508;MOM-DIBANG;DIBANG;NYONG ET KELLE;CENTRE
2106;CE1404;MOMEBELENGA;AWAE;MEFOU ET AFAMBA;CENTRE
2107;OU3606;MOMO;FOUMBOT;NOUN;OUEST
2108;ES2205;MOMZOPIA;GARI-GOMBO;BOUMBA ET NGOKO;EST
2109;CE5101;MONATELE;MONATELE;LEKIE;CENTRE
2110;CE5104;MONATELE II;MONATELE;LEKIE;CENTRE
2111;ESAL47;MONAY;BETARE-OYA;LOM ET DJEREM;EST
2112;ES3306;MONGO-KELLE;MOULOUNDO;BOUMBA ET NGOKO;EST
2113;ES4212;MOPOUO;YOKADOUMA;BOUMBA ET NGOKO;EST
2114;EN4314;MORA MASSIF;MORA;MAYO-SAVA;EXTREME-NORD
2115;EN1119;MORORO;BOGO;DIAMARE;EXTREME-NORD
2116;EN4614;MOSKOTA;MAYO MOSKOTA;MAYO-TSANAGA;EXTREME-NORD
2117;LT2812;MOUANGUEL I;MELONG;MOUNGO;LITTORAL
2118;ENAL68;MOUDA;MOUTOURWA;MAYO-KANI;EXTREME-NORD
2119;EN4213;MOUFOU-SUD;MOKOLO;MAYO-TSANAGA;EXTREME-NORD
2120;EN4214;MOUFTOUM;MOKOLO;MAYO-TSANAGA;EXTREME-NORD
2121;CE3406;MOUKO;KIIKI;MBAM ET INOUBOU;CENTRE
2122;EN4319;MOUKTELE-ZOUELVA;MORA;MAYO-SAVA;EXTREME-NORD
2123;EN2505;MOULDAR;HINA;MAYO-TSANAGA;EXTREME-NORD
2124;EN4609;MOULDOGOUA;MAYO MOSKOTA;MAYO-TSANAGA;EXTREME-NORD
2125;LT3003;MOULONGO;MOUANKO;SANAGA-MARITIME;LITTORAL
2126;ENAL67;MOURDAS;HILE ALIFA;DIAMARE;EXTREME-NORD
2127;EN4603;MOUSSARI;MAYO MOSKOTA;MAYO-TSANAGA;EXTREME-NORD
2128;ES2103;MOUTCHEBOUM;DOUME;HAUT-NYONG;EST
2129;EN3210;MOUTCHTIKAR;KOZA;MAYO-TSANAGA;EXTREME-NORD
2130;EN5104;MOUYENGUE;TOKOMBERE;MAYO-SAVA;EXTREME-NORD
2131;LT3105;MOYA;NDOBIAN;NKAM;LITTORAL
2132;EN4610;MOZOGO SECONDAIRE;MAYO MOSKOTA;MAYO-TSANAGA;EXTREME-NORD
2133;LT1004;MPAKA BARE MBENG;BARE;MOUNGO;LITTORAL
2134;ES4213;MPARO;YOKADOUMA;BOUMBA ET NGOKO;EST
2135;ES1003;MPEMZOK;ABONG-MBANG;HAUT-NYONG;EST
2136;ES1104;MPOUNDOU;ANGOSSAS;HAUT-NYONG;EST
2137;SW1308;MUABI-NHIA;BANGEM;KUPE / MUANENGUBA;SUD-OUEST
2138;OUALF0;MUBIN;BAMENDJOU;HAUTS PLATEAUX;OUEST
2139;SW3602;MUDEKA;TIKO;FAKO;SUD-OUEST
2140;SW1405;MUEA;BUEA;FAKO;SUD-OUEST
2141;SW1309;MUEBAH;BANGEM;KUPE / MUANENGUBA;SUD-OUEST
2142;SW1310;MUEBAH-NNINONG;BANGEM;KUPE / MUANENGUBA;SUD-OUEST
2143;SW1311;MUEBONG;BANGEM;KUPE / MUANENGUBA;SUD-OUEST
2144;NW3405;MUENI;NJINIKUM;BOYO;NORTH-WEST
2145;SW2606;MUKONJE;KUMBA III;MEME;SUD-OUEST
2146;NW3406;MULOIN;NJINIKUM;BOYO;NORTH-WEST
2147;SW3301;MUNDEMBA COUNCIL;KOMBO-ITINDI;NDIAN;SUD-OUEST
2148;NW1305;MUNDUM;BAFUT;MEZAM;NORTH-WEST
2149;SW3506;MUNGO NDOR;NGUTI;KUPE / MUANENGUBA;SUD-OUEST
2150;SW3603;MUTENGENE;TIKO;FAKO;SUD-OUEST
2151;SW3401;MUYUKA COUNCIL;MUYUKA;FAKO;SUD-OUEST
2152;CE6714;MVA'A I;OKOLA;LEKIE;CENTRE
2153;ES3807;MVANDA ROUTE;NGUELEMENDOUGA;HAUT-NYONG;EST
2154;CE1409;MVE I;AWAE;MEFOU ET AFAMBA;CENTRE
2155;CE3705;MVEBEKONE;LEMBE-YEZOUM;HAUTE SANAGA;CENTRE
2156;OU3105;MVEULE;DJEBEM;KOUNG KHI;OUEST
2157;CE1906;MVOUNKENG;BIKOK;MEFOU ET AKONO;CENTRE
2158;AD1410;NABEMO;DJOHONG;MBERE;ADAMAOUA
2159;CE6503;NACHTIGAL;NTUI;MBAM ET KIM;CENTRE
2160;ES1308;NADEGBE;BATOURI;KADEY;EST
2161;EN2004;NADJE;GOULFEY;DIAMARE;EXTREME-NORD
2162;EN1308;NAGA’A;DARAK;DIAMARE;EXTREME-NORD
2163;NW1408;NAKA;BALI;MEZAM;NORTH-WEST
2164;LT2506;NAMBA;MANJO;MOUNGO;LITTORAL
2165;ES4214;NAMPELLA;YOKADOUMA;BOUMBA ET NGOKO;EST
2166;ES2306;NANDONGUE;GAROUA-BOULAI;LOM ET DJEREM;EST
2167;LT3216;NDAMBOG;NDOM;SANAGA-MARITIME;LITTORAL
2168;CE3509;NDAMVO;NYAKOKOMBO;NYONG ET MFOUMOU;CENTRE
2169;CE7507;NDAMVOUT;YAOUNDE IV;MFOUNDI;CENTRE
2170;CE4910;NDANGUENG I;MFOU;MEFOU ET AFAMBA;CENTRE
2171;CE4911;NDANGUENG II;MFOU;MEFOU ET AFAMBA;CENTRE
2172;CE4912;NDANKO;MFOU;MEFOU ET AFAMBA;CENTRE
2173;NW3908;NDAPANG-LOWER;SANTA;MEZAM;NORTH-WEST
2174;NW2003;NDAWARA;BELO;BOYO;NORTH-WEST
2175;CE4531;NDAZOA;MBANKOMO;MEFOU ET AKONO;CENTRE
2176;CE4531;NDAZOA;NGOUMOU;MEFOU ET AKONO;CENTRE
2177;CE1507;NDELLE;AYOS;NYONG ET MFOUMOU;CENTRE
2178;LT4303;NDEM;YINGUI;NKAM;LITTORAL
2179;ES1807;NDEMBA II;DIANG;LOM ET DJEREM;EST
